season,season_type,field,n_games,pct_non_null
2018,regular,passes_exclusion_filter,845,100.0
2018,regular,season,845,100.0
2018,regular,seasonType,845,100.0
2018,regular,shortened_or_canceled,845,100.0
2018,regular,startDate,845,100.0
2018,regular,startTimeTBD,845,100.0
2018,regular,venue,845,100.0
2018,regular,venueId,845,100.0
2018,regular,week,845,100.0
2019,postseason,attendance,40,100.0
2019,postseason,awayClassification,40,100.0
2019,postseason,awayConference,40,100.0
2019,postseason,awayId,40,100.0
2019,postseason,awayLineScores,40,100.0
2019,postseason,awayPoints,40,100.0
2019,postseason,awayPostgameElo,40,100.0
2019,postseason,awayPostgameWinProbability,40,100.0
2019,postseason,awayPregameElo,40,100.0
2019,postseason,awayTeam,40,100.0
2019,postseason,away_class,40,100.0
2019,postseason,away_class_unrecognized,40,100.0
2019,postseason,away_ls_len,40,100.0
2019,postseason,classification_unrecognized,40,100.0
2019,postseason,completed,40,100.0
2019,postseason,conferenceGame,40,100.0
2019,postseason,excitementIndex,40,100.0
2019,postseason,excluded_for_canceled_or_shortened,40,100.0
2019,postseason,excluded_for_fcs_opponent,40,100.0
2019,postseason,excluded_for_no_spread,40,100.0
2019,postseason,excluded_for_not_completed,40,100.0
2019,postseason,fbs_vs_fbs,40,100.0
2019,postseason,fbs_vs_fcs,40,100.0
2019,postseason,has_any_opening_spread,40,100.0
2019,postseason,has_any_spread,40,100.0
2019,postseason,has_lines_entry,40,100.0
2019,postseason,has_open_and_close,40,100.0
2019,postseason,has_pregame_elo_both,40,100.0
2019,postseason,highlights,40,100.0
2019,postseason,homeClassification,40,100.0
2019,postseason,homeConference,40,100.0
2019,postseason,homeId,40,100.0
2019,postseason,homeLineScores,40,100.0
2019,postseason,homePoints,40,100.0
2019,postseason,homePostgameElo,40,100.0
2019,postseason,homePostgameWinProbability,40,100.0
2019,postseason,homePregameElo,40,100.0
2019,postseason,homeTeam,40,100.0
2019,postseason,home_class,40,100.0
2019,postseason,home_class_unrecognized,40,100.0
2019,postseason,home_ls_len,40,100.0
2019,postseason,id,40,100.0
2019,postseason,likely_ot,40,100.0
2019,postseason,n_providers,40,100.0
2019,postseason,neutralSite,40,100.0
2019,postseason,notes,40,87.5
2019,postseason,passes_exclusion_filter,40,100.0
2019,postseason,season,40,100.0
2019,postseason,seasonType,40,100.0
2019,postseason,shortened_or_canceled,40,100.0
2019,postseason,startDate,40,100.0
2019,postseason,startTimeTBD,40,100.0
2019,postseason,venue,40,100.0
2019,postseason,venueId,40,100.0
2019,postseason,week,40,100.0
2019,regular,attendance,848,100.0
2019,regular,awayClassification,848,100.0
2019,regular,awayConference,848,100.0
2019,regular,awayId,848,100.0
2019,regular,awayLineScores,848,100.0
2019,regular,awayPoints,848,100.0
2019,regular,awayPostgameElo,848,86.67
2019,regular,awayPostgameWinProbability,848,100.0
2019,regular,awayPregameElo,848,86.67
2019,regular,awayTeam,848,100.0
2019,regular,away_class,848,100.0
2019,regular,away_class_unrecognized,848,100.0
2019,regular,away_ls_len,848,100.0
2019,regular,classification_unrecognized,848,100.0
2019,regular,completed,848,100.0
2019,regular,conferenceGame,848,100.0
2019,regular,excitementIndex,848,99.88
2019,regular,excluded_for_canceled_or_shortened,848,100.0
2019,regular,excluded_for_fcs_opponent,848,100.0
2019,regular,excluded_for_no_spread,848,100.0
2019,regular,excluded_for_not_completed,848,100.0
2019,regular,fbs_vs_fbs,848,100.0
2019,regular,fbs_vs_fcs,848,100.0
2019,regular,has_any_opening_spread,848,100.0
2019,regular,has_any_spread,848,100.0
2019,regular,has_lines_entry,848,100.0
2019,regular,has_open_and_close,848,100.0
2019,regular,has_pregame_elo_both,848,100.0
2019,regular,highlights,848,100.0
2019,regular,homeClassification,848,100.0
2019,regular,homeConference,848,100.0
2019,regular,homeId,848,100.0
2019,regular,homeLineScores,848,100.0
2019,regular,homePoints,848,100.0
2019,regular,homePostgameElo,848,86.67
2019,regular,homePostgameWinProbability,848,100.0
2019,regular,homePregameElo,848,86.67
2019,regular,homeTeam,848,100.0
2019,regular,home_class,848,100.0
2019,regular,home_class_unrecognized,848,100.0
2019,regular,home_ls_len,848,100.0
2019,regular,id,848,100.0
2019,regular,likely_ot,848,100.0
2019,regular,n_providers,848,100.0
2019,regular,neutralSite,848,100.0
2019,regular,notes,848,0.12
2019,regular,passes_exclusion_filter,848,100.0
2019,regular,season,848,100.0
2019,regular,seasonType,848,100.0
2019,regular,shortened_or_canceled,848,100.0
2019,regular,startDate,848,100.0
2019,regular,startTimeTBD,848,100.0
2019,regular,venue,848,100.0
2019,regular,venueId,848,100.0
2019,regular,week,848,100.0
2020,postseason,attendance,26,96.15
2020,postseason,awayClassification,26,100.0
2020,postseason,awayConference,26,100.0
2020,postseason,awayId,26,100.0
2020,postseason,awayLineScores,26,100.0
2020,postseason,awayPoints,26,100.0
2020,postseason,awayPostgameElo,26,100.0
2020,postseason,awayPostgameWinProbability,26,100.0
2020,postseason,awayPregameElo,26,100.0
2020,postseason,awayTeam,26,100.0
2020,postseason,away_class,26,100.0
2020,postseason,away_class_unrecognized,26,100.0
2020,postseason,away_ls_len,26,100.0
2020,postseason,classification_unrecognized,26,100.0
2020,postseason,completed,26,100.0
2020,postseason,conferenceGame,26,100.0
2020,postseason,excitementIndex,26,100.0
2020,postseason,excluded_for_canceled_or_shortened,26,100.0
2020,postseason,excluded_for_fcs_opponent,26,100.0
2020,postseason,excluded_for_no_spread,26,100.0
2020,postseason,excluded_for_not_completed,26,100.0
2020,postseason,fbs_vs_fbs,26,100.0
2020,postseason,fbs_vs_fcs,26,100.0
2020,postseason,has_any_opening_spread,26,100.0
2020,postseason,has_any_spread,26,100.0
2020,postseason,has_lines_entry,26,100.0
2020,postseason,has_open_and_close,26,100.0
2020,postseason,has_pregame_elo_both,26,100.0
2020,postseason,highlights,26,100.0
2020,postseason,homeClassification,26,100.0
2020,postseason,homeConference,26,100.0
2020,postseason,homeId,26,100.0
2020,postseason,homeLineScores,26,100.0
2020,postseason,homePoints,26,100.0
2020,postseason,homePostgameElo,26,100.0
2020,postseason,homePostgameWinProbability,26,100.0
2020,postseason,homePregameElo,26,100.0
2020,postseason,homeTeam,26,100.0
2020,postseason,home_class,26,100.0
2020,postseason,home_class_unrecognized,26,100.0
2020,postseason,home_ls_len,26,100.0
2020,postseason,id,26,100.0
2020,postseason,likely_ot,26,100.0
2020,postseason,n_providers,26,100.0
2020,postseason,neutralSite,26,100.0
2020,postseason,notes,26,100.0
2020,postseason,passes_exclusion_filter,26,100.0
2020,postseason,season,26,100.0
2020,postseason,seasonType,26,100.0
2020,postseason,shortened_or_canceled,26,100.0
2020,postseason,startDate,26,100.0
2020,postseason,startTimeTBD,26,100.0
